Landshlutar,Póstnúmer,Age,Gender,Other Category,Flettingar,% Δ,Fjöldi eigna,% Δ,Avg. Time on Page,% Δ
Reykjavík,104 Reykjavík (Laugardalur),25-34,female,Arts & Entertainment/TV & Video/Online Video,1465,4.386029411764706,11,1.75,17.89752906976744,1.3686460767786672
Reykjavík,107 Reykjavík (Vesturbær),25-34,female,Arts & Entertainment/Celebrities & Entertainment News,1457,0.8513341804320204,14,1.3333333333333333,22.10007412898443,0.14658943995090853
Reykjavík,104 Reykjavík (Laugardalur),25-34,male,Arts & Entertainment/TV & Video/Online Video,1403,3.975177304964539,14,2.5,21.527216174183515,-0.005536209344783339
Reykjavík,105 Reykjavík (Hlíðar),65+,female,Arts & Entertainment/Celebrities & Entertainment News,1388,0.1490066225165563,11,-0.15384615384615385,18.657749803304483,0.08813771141114553
Reykjavík,110 Reykjavík (Árbær),25-34,male,Arts & Entertainment/TV & Video/Online Video,1376,1.123456790123457,12,0.3333333333333333,16.96546310832025,-0.14823840117583392
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",18-24,male,Arts & Entertainment/TV & Video/Online Video,1358,0,14,-0.06666666666666667,17.88300395256917,-0.06879709602281252
Reykjavík,107 Reykjavík (Vesturbær),25-34,male,Arts & Entertainment/TV & Video/Online Video,1335,1.0319634703196348,13,0.625,20.162790697674417,0.2764277430062587
Reykjavík,105 Reykjavík (Hlíðar),25-34,male,[Life Events] Job Change/Starting New Job Soon,1326,0.3220338983050847,14,0.16666666666666666,20.069514237855948,0.01979239013495673
Hafnafjörður,220 Hafnarfjörður,25-34,male,Arts & Entertainment/TV & Video/Online Video,1278,0.25663716814159293,15,0.15384615384615385,21.89079965606191,-0.2536072808190538
Norðurland,603 Akureyri,25-34,male,Sports/Team Sports/Soccer,1262,5.0673076923076925,9,2,12.030358785648573,-0.4602744975085014
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),25-34,male,[Life Events] Moving/Recently Moved,1255,2.1933842239185752,13,1.1666666666666667,23.222602739726028,1.0310832924766304
Reykjavík,110 Reykjavík (Árbær),25-34,female,Arts & Entertainment/Celebrities & Entertainment News,1252,0.5084337349397591,11,0.375,10.636600173460538,-0.4512010383168793
Reykjanes,230 Reykjanesbær,25-34,male,Sports/Team Sports/Soccer,1250,-0.28530588907947396,11,-0.21428571428571427,18.032608695652176,-0.27325510336206543
Garðabær,210 Garðabær,45-54,male,Sports/Team Sports/Soccer,1244,0.6304062909567497,11,0.2222222222222222,28.278208440999137,0.48775269279961514
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),18-24,male,Arts & Entertainment/TV & Video/Online Video,1230,6.068965517241379,11,2.6666666666666665,16.208849557522125,-0.018004004909243462
Reykjavík,105 Reykjavík (Hlíðar),25-34,female,[Life Events] Job Change/Recently Started New Job,1220,0.10507246376811594,12,0.3333333333333333,15.429744525547445,0.13235077198805992
Reykjavík,105 Reykjavík (Hlíðar),25-34,male,News/Sports News,1214,-0.20341207349081364,11,-0.26666666666666666,23.990732159406857,-0.11152636978533766
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),25-34,male,News/Sports News,1205,1.1103327495621715,10,0.42857142857142855,25.514259429622815,0.7185935806756683
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),65+,female,Arts & Entertainment/Celebrities & Entertainment News,1200,5.666666666666667,10,2.3333333333333335,15.391761612620508,-0.4504110625036673
Garðabær,210 Garðabær,25-34,female,Arts & Entertainment/Celebrities & Entertainment News,1194,-0.09886792452830188,11,-0.08333333333333333,12.769804287045666,0.17419856342206144
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),25-34,male,[Life Events] Job Change/Starting New Job Soon,1178,3.693227091633466,11,1.75,23.638103919781223,0.8785248148170507
Kópavogur,"201 Kópavogur (Smárar, Lindir, Salir)",25-34,male,Arts & Entertainment/TV & Video/Online Video,1176,0.45905707196029777,11,0.1,20.94649446494465,0.06705599906437748
Reykjavík,101 Reykjavík (Miðborg),18-24,male,Arts & Entertainment/TV & Video/Online Video,1170,-0.12030075187969924,15,-0.0625,38.4045045045045,0.5421055117029796
Reykjavík,111 Reykjavík (Breiðholt),25-34,male,Sports/Team Sports/Soccer,1139,1.4814814814814814,9,0.8,30.433644859813086,0.725726471985018
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),35-44,male,Sports/Team Sports/Soccer,1137,2.0813008130081303,9,0.8,13.836538461538462,-0.15025873132901885
Reykjavík,112 Reykjavík (Grafarvogur),25-34,male,News/Sports News,1118,8.807017543859649,5,4,16.428436911487758,0.7836588646758136
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",25-34,male,News/Sports News,1107,-0.3355342136854742,8,-0.3333333333333333,31.78265306122449,0.22272663303927895
Reykjavík,105 Reykjavík (Hlíðar),18-24,male,Arts & Entertainment/TV & Video/Online Video,1083,-0.3066581306017926,12,-0.3333333333333333,18.68562874251497,-0.37184611140781515
