Date,Investing,Inflation
11/15/2020,42.5,56
11/22/2020,44,52.5
11/29/2020,35,55
12/6/2020,47,61
12/13/2020,42.5,64.5
12/20/2020,40,53.5
12/27/2020,58.5,59
1/3/2021,77.5,77.5
1/10/2021,64,75
1/17/2021,58.5,71.5
1/24/2021,100,87
1/31/2021,80,81
2/7/2021,80,79
2/14/2021,71.5,78
2/21/2021,61,81.5
2/28/2021,51,76.5
